workbookID,table
ff041013-9040-e754-9e23-90ab09571b35,goglobal_gp_goglobal.v_gp_gg_gp_person_current
ff041013-9040-e754-9e23-90ab09571b35,goglobal_gp_goglobal.v_gp_gg_country_current
ff041013-9040-e754-9e23-90ab09571b35,goglobal_gp_goglobal.v_gp_gg_client_country_current
ff041013-9040-e754-9e23-90ab09571b35,goglobal_gp_goglobal.v_gp_gg_province_current
ff041013-9040-e754-9e23-90ab09571b35,goglobal_gp_goglobal.v_gp_gg_client_terms_current
ff041013-9040-e754-9e23-90ab09571b35,goglobal_gp_goglobal.v_gp_gg_client_current
ff041013-9040-e754-9e23-90ab09571b35,goglobal_gp_goglobal.v_gp_gg_address_current
ff041013-9040-e754-9e23-90ab09571b35,goglobal_gp_goglobal.v_gp_gg_client_current
ff041013-9040-e754-9e23-90ab09571b35,goglobal_gp_goglobal.scheduled_item
5dcd51e1-e456-5bf3-44d4-f61e67d98c06,goglobal_gp_goglobal.v_gp_gg_country_current
5dcd51e1-e456-5bf3-44d4-f61e67d98c06,goglobal_gp_goglobal.v_gp_gg_lsp_current_mat
5dcd51e1-e456-5bf3-44d4-f61e67d98c06,goglobal_gp_goglobal.v_gp_gg_professional_current
5dcd51e1-e456-5bf3-44d4-f61e67d98c06,goglobal_gp_goglobal.v_gp_gg_lsp_invoice_current
5dcd51e1-e456-5bf3-44d4-f61e67d98c06,goglobal_gp_goglobal.v_gp_gg_client_bill_transaction_current
5dcd51e1-e456-5bf3-44d4-f61e67d98c06,goglobal_gp_goglobal.v_gp_gg_billing_cycle_current
5dcd51e1-e456-5bf3-44d4-f61e67d98c06,goglobal_gp_goglobal.v_gp_gg_lsp_country_current
5dcd51e1-e456-5bf3-44d4-f61e67d98c06,goglobal_gp_goglobal.v_gp_gg_billing_transaction_type_current
5dcd51e1-e456-5bf3-44d4-f61e67d98c06,ltv_analysis.v_ltv_int_fee_buckets
5dcd51e1-e456-5bf3-44d4-f61e67d98c06,repo.v_gp_mdm_customer
5dcd51e1-e456-5bf3-44d4-f61e67d98c06,goglobal_gp_goglobal.v_gp_gg_client_current
5dcd51e1-e456-5bf3-44d4-f61e67d98c06,goglobal_gp_goglobal.v_gp_gg_client_bill_current
5e37de85-f74b-8c4d-0c83-625203fb7390,goglobal_gp_goglobal.v_gp_gg_client_current
5e37de85-f74b-8c4d-0c83-625203fb7390,"""zendesk"".""satisfaction_rating"""
5e37de85-f74b-8c4d-0c83-625203fb7390,"""zendesk"".""user"""
5e37de85-f74b-8c4d-0c83-625203fb7390,zendesk.organization
5e37de85-f74b-8c4d-0c83-625203fb7390,"""zendesk"".""ticket"""
5e37de85-f74b-8c4d-0c83-625203fb7390,"""zendesk"".""group"""
5e37de85-f74b-8c4d-0c83-625203fb7390,zendesk.ticket_metrics
5e37de85-f74b-8c4d-0c83-625203fb7390,"""zendesk"".""organization"""
5e37de85-f74b-8c4d-0c83-625203fb7390,zendesk.ticket_tag
5f3f755e-2adc-9955-c880-32b863252598,"""goglobal_gp_goglobal"".""v_gp_gg_country_current"""
5f3f755e-2adc-9955-c880-32b863252598,"""goglobal_gp_goglobal"".""professional"""
5f3f755e-2adc-9955-c880-32b863252598,goglobal_gp_goglobal.v_gp_tableau_ltv_base
5f3f755e-2adc-9955-c880-32b863252598,"""goglobal_gp_goglobal"".""client"""
5f3f755e-2adc-9955-c880-32b863252598,"""goglobal_gp_goglobal"".""industry"""
5f3f755e-2adc-9955-c880-32b863252598,goglobal_gp_goglobal.address	as
